Column,Code,Label,Class
description,"BUTTER,WITH SALT","BUTTER,WITH SALT",dbr:Butter
description,"BUTTER,WHIPPED,WITH SALT","BUTTER,WHIPPED,WITH SALT",dbr:Butter
description,"BUTTER OIL,ANHYDROUS","BUTTER OIL,ANHYDROUS",dbr:Butter
description,"CHEESE,BLUE","CHEESE,BLUE",dbr:Blue_cheese
description,"CHEESE,BRICK","CHEESE,BRICK",dbr:Cheese
description,"CHEESE,BRIE","CHEESE,BRIE",dbr:Brie
description,"CHEESE,CAMEMBERT","CHEESE,CAMEMBERT",dbr:Camembert
description,"CHEESE,CARAWAY","CHEESE,CARAWAY",dbr:Cheese
description,"CHEESE,CHEDDAR","CHEESE,CHEDDAR",dbr:Cheddar_cheese
description,"CHEESE,CHESHIRE","CHEESE,CHESHIRE",dbr:Cheshire_cheese
