Column,Attribute,attributeOf,Format,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition,Label,Comment,Template
id,sio:Identifier,??food,,,,,,,,,,1,NDB No,,{id}
description,sio:StatusDescriptor,??food,,,,,,,,,,2,Shrt Desc,,
water,"envo:00002006, chebi:15377, dbr:Water",??food,,"dbr:Gram, uo:0000021",,,,,,,,3,Water (g),,
energy,foodon:03510045,??food,,dbr:Kcal,,,,,,,,4,Energ Kcal,,
protein,dbr:Protein,??food,,"dbr:Gram,uo:0000021",,,,,,,,5,Protein (g),,
lipid,dbr:Lipid,??food,,"dbr:Gram,uo:0000021",,,,,,,,6,Lipid Tot (g),,
ash,chebi:33104,??food,,"dbr:Gram,uo:0000021",,,,,,,,7,Ash (g),,
carbohydrate,"dbr:Carbohydrate, schema:carbohydrateContent",??food,,"dbr:Gram,uo:0000021",,,,,,,,8,Carbohydrt (g),,
fiber,dbr:Dietary_fiber,??food,,"dbr:Gram, uo:0000021",,,,,,,,9,Fiber TD (g),,
sugar,dbr:Sugar,??food,,"dbr:Gram,uo:0000021",,,,,,,,10,Sugar Tot (g),,
calcium,dbr:Calcium,??food,,uo:0000022,,,,,,,,11,Calcium (mg),,
iron,,??food,,uo:0000022,,chebi:18248,,,,,,12,Iron (mg),,
magnesium,,??food,,uo:0000022,,chebi:25107,,,,,,13,Magnesium (mg),,
phosphorus,,??food,,uo:0000022,,chebi:28659,,,,,,14,Phosphorus (mg),,
potassium,,??food,,uo:0000022,,chebi:26216,,,,,,15,Potassium (mg),,
sodium,,??food,,uo:0000022,,chebi:26708,,,,,,16,Sodium (mg),,
zinc,,??food,,uo:0000022,,chebi:27363,,,,,,17,Zinc (mg),,
copper,,??food,,uo:0000022,,chebi:28694,,,,,,18,Copper mg),,
manganese,,??food,,uo:0000022,,chebi:18291,,,,,,19,Manganese (mg),,
selenium,,??food,,uo:0000023,,chebi:27568,,,,,,20,Selenium (micro_g),,
vitamin_C,,??food,,uo:0000022,,chebi:21241,,,,,,21,Vit C (mg),,
thiamin,,??food,,uo:0000022,,chebi:18385,,,,,,22,Thiamin (mg),,
riboflavin,,??food,,uo:0000022,,chebi:17015,,,,,,23,Riboflavin (mg),,
niacin,,??food,,uo:0000022,,chebi:15940,,,,,,24,Niacin (mg),,
panto_acid,,??food,,uo:0000022,,chebi:25848,,,,,,25,Panto Acid mg),,
vitamin_B6,,??food,,uo:0000022,,chebi:27306,,,,,,26,Vit B6 (mg),,
food_folate,,??food,,uo:0000023,,chebi:27470,,,,,,27,Food Folate (micro_g),,
choline,,??food,,uo:0000022,,chebi:15354,,,,,,28,Choline Tot  (mg),,
vit_B12,,??food,,uo:0000023,,chebi:49100,,,,,,29,Vit B12 (micro_g),,
vit_A,dbr:Vitamin_A,??food,,uo:0000279,,,,,,,,30,Vit A IU,,
vit_A_RAE,,??food,,,,chebi:12777,,,,,,31,Vit A RAE,,
retinol,,??food,,uo:0000023,,chebi:50211,,,,,,32,Retinol (micro_g),,
alpha_carot,,??food,,uo:0000023,,chebi:23042,,,,,,33,Alpha Carot (micro_g),,
beta_carot,,??food,,uo:0000023,,chebi:17579,,,,,,34,Beta Carot (micro_g),,
beta_crypt,,??food,,uo:0000023,,chebi:3930,,,,,,35,Beta Crypt (micro_g),,
lycopene,,??food,,uo:0000023,,chebi:15948,,,,,,36,Lycopene (micro_g),,
vitamin_E,,??food,,uo:0000022,,chebi:33234,,,,,,37,Vit E (mg),,
vit_D,,??food,,uo:0000023,,chebi:27300,,,,,,38,Vit D micro_g,,
vit_K,,??food,,uo:0000023,,chebi:28384,,,,,,39,Vit K (micro_g),,
fat_sat,,??food,,uo:0000021,,chebi:26607,,,,,,40,FA Sat (g),,
fat_mono,,??food,,uo:0000021,,chebi:25413,,,,,,41,FA Mono (g),,
fat_poly,,??food,,uo:0000021,,chebi:76567,,,,,,42,FA Poly (g),,
cholestrl,,??food,,uo:0000022,,chebi:16113,,,,,,43,Cholestrl (mg),,
??food,,,,,,"chebi:33290, dbr:Food",,,,,,,Food Item,,
